CODIGO_UNICO,NOMBRE_INVERSION,PROVINCIA,DISTRITO,LATITUD,LONGITUD,TIPO_COORDENADA,EPS_PRESTACION,TIENE_EPS_PRESTACION,DENTRO_EPS,CATEGORIA_COORD
2433475,MEJORAMIENTO DEL SERVICIO HIGIÉNICO DE LA GOBERNACIÓN DE ROSASPATA DEL DISTRITO DE ROSASPATA - PROVINCIA DE HUANCANE - DEPARTAMENTO DE PUNO,HUANCANE,ROSASPATA,-15.2343311,-69.52769,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2535577,"CONSTRUCCION DE SISTEMA DE BOMBEO EN EL(LA) SERVICIO DE ABASTECIMIENTO DE AGUA MEDIANTE SISTEMA DE BOMBEO FOTOVOLTAICO EN LA LOCALIDAD CCORPA, DISTRITO DE PUSI, PROVINCIA HUANCANE, DEPARTAMENTO PUNO",HUANCANE,PUSI,-15.454049999999938,-69.96993999999995,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2571063,"CREACION DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO SANITARIO Y TRATAMIENTO DE AGUAS RESIDUALES PARA DISPOSICIÓN FINAL EN EL CASERIO SAN FERMIN DEL  DISTRITO DE SAN PEDRO DE PUTINA PUNCO - PROVINCIA DE SANDIA - DEPARTAMENTO DE PUNO",SANDIA,SAN PEDRO DE PUTINA PUNCO,-13.91634599478612,-68.99094351241915,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2332880,"CREACION DEL SISTEMA DE AGUA POTABLE EN LA PARCIALIDAD DE YAPUPALLCAPAMPA DEL CENTRO POBLADO DE TITIHUE, DISTRITO DE HUANCANE, PROVINCIA DE HUANCANE - PUNO",HUANCANE,HUANCANE,-15.1842883,-69.8235022,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2145688,"CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD DE TUPALA, DISTRITO DE CAPASO, PROVINCIA DE EL COLLAO, DEPARTAMENTO DE PUNO.",EL COLLAO,CAPAZO,-17.0118324,-69.6312047,APROXIMADA_LOCALIDAD,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2186026,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA COMUNIDAD CAMPESINA ARACACHI JAHUERJA, DISTRITO KELLUYO - CHUCUITO - PUNO",CHUCUITO,KELLUYO,-16.7270638,-69.2499805,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2189495,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LOS SECTORES FARIPIÑA, VILACAYA, PUCARA Y CAUSILLUMA DE LA COMUNIDAD CAMPESINA HUACASUMA, DISTRITO HUACULLANI - CHUCUITO - PUNO",CHUCUITO,HUACULLANI,-16.6302449,-69.3222231,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2645092,"ADQUISICION DE BOMBA DE AGUA EN EL(LA) SECTOR SALLALLIN EN EL CENTRO POBLADO HILATA, DISTRITO DE CAPACHICA, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,CAPACHICA,-15.62245910384544,-69.83301329101444,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2657058,CREACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN LA C.C. UMASUYO ALTO   DISTRITO DE AYAVIRI DE LA PROVINCIA DE MELGAR DEL DEPARTAMENTO DE PUNO,MELGAR,AYAVIRI,-14.873830089911248,-70.46614549916283,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2627182,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE DRENAJE PLUVIAL EN LA LOCALIDAD DE MACUSANI DEL   DISTRITO DE MACUSANI DE LA PROVINCIA DE CARABAYA DEL DEPARTAMENTO DE PUNO,CARABAYA,MACUSANI,-14.069139296381662,-70.42806664087665,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
